"Year","N","Y"
"1998",185,27
"1998",141,19
"1998",81,12
"1998",168,27
"1998",64,6
"1998",194,26
"1998",177,36
"1998",84,11
"1998",105,17
"1998",106,12
"1998",116,15
"1998",125,15
"1998",82,10
"1998",125,23
"1998",170,39
"1998",74,9
"1998",58,8
"1998",116,13
"1998",220,37
"1998",122,19
"1998",120,16
"1998",141,28
"1998",86,17
"1998",93,8
"1998",91,19
"1998",144,25
"1998",105,9
"1998",114,21
"1998",119,21
"1998",69,9
"1998",106,21
"1998",118,24
"1998",140,23
"1998",119,16
"1998",73,8
"1998",57,7
"1998",101,11
"1998",114,18
"1998",104,10
"1998",85,10
"1998",90,25
"1998",46,6
"1998",92,12
"1998",51,4
"1998",76,13
"1998",36,6
"1998",80,18
"1998",29,9
"1998",108,15
"1998",52,9
"1998",92,13
"1998",52,6
"1998",127,18
"1998",118,17
"1998",87,10
"1998",46,7
"1998",121,17
"1998",60,12
"1998",126,15
"1998",62,12
"1998",166,26
"1998",131,16
"1998",116,9
"1998",36,9
"1998",76,8
"1998",69,9
"1998",109,13
"1998",140,21
"1998",73,23
"1998",127,16
"1998",118,15
"1998",69,15
"1998",59,12
"1998",78,11
"1998",70,20
"1998",43,6
"1998",78,8
"1998",94,12
"1998",54,12
"1998",45,9
"1998",96,11
"1998",107,15
"1998",76,9
"1998",86,11
"1998",126,15
"1998",85,11
"1998",48,6
"1998",112,14
"1998",83,17
"1998",171,28
"1998",70,16
"1998",88,12
"1998",204,40
"1998",112,17
"1998",129,17
"1998",114,15
"1998",51,6
"1998",101,13
"1998",127,17
"1998",155,24
"1998",113,14
"2000",188,29
"2000",139,19
"2000",89,13
"2000",192,34
"2000",57,8
"2000",184,26
"2000",150,27
"2000",87,10
"2000",100,20
"2000",94,14
"2000",92,14
"2000",123,16
"2000",91,12
"2000",115,20
"2000",166,36
"2000",80,14
"2000",77,14
"2000",112,20
"2000",230,40
"2000",121,26
"2000",101,11
"2000",154,26
"2000",95,15
"2000",83,10
"2000",85,18
"2000",136,26
"2000",83,10
"2000",119,22
"2000",112,15
"2000",72,13
"2000",94,15
"2000",104,19
"2000",130,17
"2000",92,12
"2000",62,8
"2000",76,14
"2000",87,11
"2000",127,15
"2000",87,12
"2000",88,9
"2000",86,20
"2000",56,7
"2000",81,12
"2000",52,4
"2000",60,12
"2000",47,12
"2000",71,18
"2000",39,6
"2000",92,13
"2000",63,15
"2000",83,12
"2000",65,10
"2000",100,17
"2000",122,20
"2000",131,16
"2000",41,8
"2000",119,18
"2000",69,11
"2000",118,12
"2000",73,14
"2000",121,18
"2000",131,16
"2000",99,9
"2000",36,9
"2000",96,9
"2000",64,7
"2000",100,14
"2000",137,17
"2000",52,11
"2000",131,16
"2000",121,17
"2000",55,10
"2000",71,13
"2000",69,9
"2000",90,12
"2000",42,8
"2000",70,7
"2000",85,13
"2000",50,7
"2000",68,11
"2000",95,13
"2000",119,16
"2000",87,13
"2000",90,12
"2000",124,15
"2000",71,9
"2000",63,9
"2000",115,15
"2000",95,14
"2000",160,28
"2000",81,14
"2000",78,10
"2000",194,32
"2000",108,15
"2000",114,18
"2000",84,15
"2000",52,8
"2000",109,18
"2000",132,19
"2000",148,22
"2000",116,14
"2002",161,27
"2002",135,15
"2002",98,16
"2002",168,25
"2002",60,7
"2002",163,19
"2002",131,22
"2002",71,7
"2002",100,13
"2002",81,13
"2002",101,16
"2002",129,16
"2002",115,17
"2002",117,21
"2002",145,22
"2002",83,11
"2002",73,11
"2002",90,17
"2002",222,35
"2002",87,17
"2002",109,20
"2002",146,22
"2002",104,20
"2002",60,5
"2002",86,17
"2002",157,33
"2002",56,8
"2002",110,19
"2002",116,20
"2002",87,11
"2002",97,17
"2002",126,28
"2002",138,24
"2002",108,14
"2002",47,8
"2002",68,11
"2002",88,10
"2002",131,16
"2002",99,12
"2002",72,15
"2002",78,20
"2002",54,14
"2002",64,8
"2002",44,6
"2002",61,12
"2002",33,7
"2002",64,11
"2002",45,5
"2002",109,16
"2002",60,13
"2002",75,9
"2002",51,11
"2002",96,13
"2002",131,17
"2002",90,12
"2002",47,8
"2002",123,24
"2002",74,14
"2002",92,14
"2002",66,14
"2002",129,22
"2002",129,19
"2002",94,14
"2002",32,4
"2002",75,10
"2002",55,7
"2002",92,18
"2002",165,24
"2002",72,21
"2002",121,13
"2002",104,13
"2002",98,16
"2002",80,14
"2002",76,8
"2002",63,13
"2002",49,5
"2002",55,8
"2002",83,12
"2002",37,5
"2002",56,7
"2002",88,12
"2002",95,13
"2002",88,15
"2002",89,11
"2002",116,25
"2002",62,11
"2002",76,10
"2002",109,16
"2002",83,18
"2002",149,23
"2002",70,13
"2002",92,11
"2002",203,39
"2002",101,17
"2002",105,15
"2002",96,14
"2002",71,18
"2002",108,21
"2002",122,17
"2002",138,23
"2002",104,18
"2004",144,34
"2004",143,20
"2004",91,16
"2004",151,32
"2004",62,10
"2004",155,33
"2004",143,22
"2004",51,10
"2004",89,16
"2004",91,12
"2004",73,12
"2004",126,21
"2004",80,15
"2004",115,14
"2004",147,24
"2004",73,12
"2004",74,14
"2004",100,19
"2004",208,35
"2004",101,25
"2004",117,13
"2004",138,24
"2004",95,20
"2004",66,11
"2004",72,16
"2004",142,26
"2004",61,8
"2004",130,17
"2004",124,20
"2004",67,12
"2004",101,26
"2004",112,27
"2004",149,20
"2004",100,17
"2004",57,12
"2004",81,11
"2004",65,12
"2004",118,21
"2004",78,10
"2004",65,11
"2004",88,21
"2004",47,14
"2004",82,14
"2004",54,11
"2004",69,13
"2004",47,9
"2004",83,20
"2004",36,3
"2004",94,12
"2004",51,15
"2004",65,12
"2004",40,9
"2004",119,20
"2004",112,19
"2004",77,13
"2004",44,9
"2004",142,28
"2004",90,13
"2004",118,19
"2004",93,27
"2004",89,21
"2004",109,17
"2004",101,18
"2004",48,5
"2004",79,17
"2004",43,6
"2004",112,20
"2004",143,25
"2004",88,24
"2004",101,15
"2004",99,16
"2004",66,14
"2004",57,16
"2004",82,8
"2004",82,18
"2004",50,10
"2004",69,11
"2004",73,10
"2004",52,6
"2004",65,13
"2004",81,9
"2004",88,14
"2004",96,20
"2004",74,14
"2004",110,21
"2004",75,17
"2004",78,10
"2004",107,15
"2004",61,14
"2004",163,28
"2004",88,10
"2004",92,14
"2004",198,30
"2004",94,15
"2004",94,15
"2004",91,11
"2004",80,9
"2004",74,13
"2004",134,17
"2004",134,16
"2004",102,12
"2006",126,21
"2006",99,15
"2006",94,11
"2006",171,26
"2006",59,9
"2006",149,19
"2006",128,19
"2006",77,16
"2006",94,12
"2006",67,10
"2006",81,12
"2006",117,22
"2006",94,10
"2006",115,12
"2006",154,21
"2006",96,10
"2006",72,13
"2006",86,18
"2006",224,39
"2006",88,16
"2006",108,14
"2006",136,15
"2006",87,14
"2006",81,9
"2006",82,11
"2006",142,23
"2006",79,8
"2006",112,19
"2006",125,17
"2006",75,8
"2006",105,16
"2006",80,19
"2006",109,20
"2006",94,19
"2006",55,8
"2006",74,15
"2006",103,13
"2006",107,15
"2006",103,14
"2006",76,9
"2006",82,10
"2006",56,8
"2006",85,8
"2006",47,5
"2006",57,7
"2006",54,10
"2006",72,10
"2006",36,6
"2006",74,9
"2006",54,9
"2006",82,11
"2006",52,8
"2006",96,12
"2006",103,15
"2006",81,8
"2006",50,8
"2006",122,24
"2006",72,12
"2006",100,11
"2006",69,13
"2006",104,15
"2006",123,19
"2006",78,9
"2006",28,5
"2006",69,12
"2006",56,6
"2006",95,20
"2006",143,21
"2006",76,14
"2006",120,13
"2006",92,18
"2006",69,8
"2006",72,12
"2006",63,8
"2006",83,16
"2006",61,8
"2006",54,7
"2006",81,11
"2006",70,9
"2006",61,8
"2006",93,12
"2006",106,20
"2006",81,13
"2006",80,10
"2006",136,21
"2006",75,8
"2006",66,8
"2006",91,17
"2006",108,15
"2006",180,27
"2006",69,9
"2006",87,14
"2006",184,24
"2006",112,16
"2006",115,14
"2006",87,10
"2006",78,12
"2006",91,13
"2006",127,14
"2006",156,24
"2006",94,13
"2008",152,22
"2008",110,18
"2008",86,10
"2008",182,20
"2008",58,7
"2008",132,15
"2008",127,11
"2008",67,7
"2008",98,7
"2008",82,7
"2008",76,8
"2008",128,15
"2008",77,10
"2008",120,17
"2008",161,23
"2008",90,14
"2008",67,6
"2008",85,6
"2008",188,28
"2008",111,18
"2008",103,15
"2008",123,15
"2008",112,12
"2008",86,13
"2008",107,20
"2008",175,21
"2008",63,6
"2008",100,11
"2008",133,21
"2008",92,14
"2008",78,13
"2008",107,16
"2008",140,18
"2008",97,11
"2008",57,7
"2008",108,10
"2008",104,10
"2008",134,21
"2008",92,12
"2008",79,9
"2008",82,9
"2008",60,11
"2008",102,8
"2008",63,6
"2008",67,9
"2008",48,8
"2008",75,10
"2008",39,3
"2008",89,9
"2008",57,9
"2008",77,9
"2008",71,10
"2008",97,11
"2008",104,13
"2008",109,11
"2008",46,4
"2008",133,21
"2008",70,7
"2008",104,11
"2008",73,11
"2008",92,10
"2008",135,14
"2008",84,12
"2008",44,10
"2008",68,9
"2008",47,4
"2008",103,15
"2008",108,15
"2008",72,12
"2008",102,11
"2008",96,11
"2008",69,11
"2008",74,11
"2008",77,10
"2008",90,13
"2008",51,11
"2008",71,9
"2008",73,7
"2008",64,5
"2008",73,14
"2008",73,8
"2008",94,13
"2008",116,13
"2008",70,6
"2008",118,11
"2008",63,7
"2008",73,8
"2008",111,12
"2008",84,8
"2008",138,21
"2008",95,12
"2008",81,6
"2008",201,30
"2008",119,10
"2008",144,15
"2008",90,10
"2008",72,9
"2008",93,7
"2008",147,17
"2008",159,15
"2008",119,10
"2010",160,12
"2010",140,8
"2010",72,6
"2010",161,17
"2010",42,2
"2010",158,13
"2010",127,18
"2010",62,4
"2010",114,12
"2010",92,6
"2010",98,10
"2010",175,15
"2010",71,7
"2010",113,15
"2010",185,18
"2010",102,8
"2010",52,5
"2010",82,5
"2010",232,31
"2010",133,20
"2010",129,18
"2010",144,13
"2010",112,11
"2010",99,5
"2010",103,11
"2010",149,18
"2010",72,7
"2010",128,14
"2010",103,12
"2010",91,11
"2010",100,14
"2010",106,10
"2010",160,15
"2010",102,13
"2010",62,7
"2010",98,10
"2010",108,11
"2010",153,20
"2010",102,11
"2010",74,3
"2010",91,9
"2010",75,8
"2010",72,7
"2010",53,5
"2010",77,7
"2010",53,7
"2010",101,5
"2010",57,6
"2010",82,7
"2010",54,6
"2010",76,6
"2010",55,6
"2010",96,9
"2010",128,9
"2010",109,8
"2010",37,5
"2010",128,12
"2010",61,8
"2010",119,9
"2010",74,8
"2010",103,6
"2010",140,13
"2010",97,10
"2010",15,2
"2010",98,8
"2010",73,4
"2010",118,10
"2010",161,18
"2010",41,10
"2010",115,11
"2010",126,12
"2010",73,7
"2010",68,12
"2010",62,7
"2010",93,12
"2010",48,2
"2010",47,7
"2010",89,5
"2010",53,5
"2010",70,10
"2010",90,8
"2010",133,10
"2010",116,10
"2010",73,8
"2010",124,10
"2010",64,8
"2010",94,8
"2010",105,10
"2010",103,10
"2010",146,17
"2010",95,12
"2010",114,10
"2010",231,33
"2010",141,10
"2010",134,9
"2010",114,10
"2010",121,15
"2010",80,12
"2010",182,23
"2010",172,24
"2010",112,9
"2012",144,11
"2012",111,8
"2012",86,7
"2012",170,17
"2012",55,3
"2012",125,7
"2012",135,9
"2012",73,3
"2012",132,12
"2012",84,3
"2012",99,6
"2012",173,11
"2012",73,9
"2012",146,12
"2012",152,13
"2012",91,6
"2012",61,9
"2012",85,8
"2012",278,28
"2012",120,11
"2012",146,17
"2012",142,11
"2012",118,10
"2012",97,8
"2012",142,10
"2012",155,10
"2012",65,6
"2012",123,13
"2012",108,10
"2012",114,11
"2012",107,6
"2012",117,11
"2012",168,11
"2012",131,9
"2012",60,6
"2012",116,11
"2012",132,11
"2012",165,12
"2012",126,8
"2012",98,6
"2012",91,11
"2012",87,6
"2012",103,9
"2012",68,7
"2012",77,6
"2012",57,6
"2012",97,9
"2012",75,2
"2012",109,6
"2012",59,6
"2012",86,6
"2012",84,10
"2012",121,11
"2012",125,9
"2012",96,8
"2012",52,8
"2012",123,8
"2012",80,6
"2012",142,10
"2012",107,12
"2012",96,7
"2012",141,10
"2012",90,9
"2012",35,1
"2012",105,7
"2012",47,2
"2012",124,13
"2012",177,12
"2012",78,4
"2012",119,12
"2012",152,9
"2012",115,11
"2012",90,9
"2012",79,7
"2012",118,8
"2012",77,4
"2012",56,3
"2012",117,7
"2012",66,9
"2012",126,9
"2012",106,11
"2012",137,14
"2012",149,10
"2012",69,5
"2012",137,8
"2012",78,6
"2012",107,7
"2012",123,7
"2012",116,11
"2012",177,20
"2012",131,20
"2012",80,3
"2012",268,37
"2012",152,11
"2012",140,7
"2012",120,7
"2012",198,18
"2012",107,9
"2012",209,22
"2012",164,14
"2012",112,8
"2014",144,9
"2014",124,8
"2014",81,6
"2014",162,12
"2014",54,3
"2014",156,11
"2014",119,10
"2014",76,3
"2014",107,8
"2014",85,6
"2014",87,4
"2014",177,11
"2014",71,6
"2014",116,9
"2014",159,11
"2014",88,7
"2014",69,8
"2014",84,7
"2014",268,24
"2014",149,10
"2014",152,13
"2014",158,10
"2014",101,6
"2014",77,6
"2014",143,11
"2014",167,11
"2014",95,8
"2014",119,8
"2014",128,11
"2014",120,11
"2014",85,8
"2014",128,7
"2014",158,14
"2014",104,3
"2014",63,5
"2014",98,10
"2014",132,10
"2014",143,11
"2014",101,8
"2014",105,6
"2014",75,11
"2014",101,7
"2014",84,3
"2014",86,10
"2014",72,5
"2014",65,8
"2014",84,10
"2014",51,5
"2014",109,7
"2014",64,8
"2014",94,7
"2014",81,6
"2014",134,8
"2014",131,9
"2014",93,7
"2014",50,5
"2014",136,13
"2014",55,5
"2014",151,11
"2014",100,7
"2014",90,4
"2014",212,19
"2014",109,7
"2014",18,1
"2014",110,8
"2014",62,2
"2014",117,12
"2014",188,12
"2014",90,5
"2014",111,10
"2014",144,17
"2014",117,11
"2014",71,6
"2014",83,6
"2014",90,5
"2014",55,2
"2014",68,3
"2014",124,9
"2014",72,7
"2014",104,11
"2014",121,9
"2014",135,14
"2014",142,14
"2014",76,6
"2014",119,7
"2014",82,4
"2014",85,9
"2014",111,6
"2014",118,9
"2014",183,23
"2014",97,9
"2014",111,6
"2014",281,38
"2014",163,12
"2014",133,9
"2014",132,8
"2014",203,18
"2014",106,10
"2014",250,25
"2014",157,12
"2014",131,7
